Episode,Total Step,Total Reward
456,456000,4995.508227902188
457,457000,4972.4879419854715
458,458000,4595.553502874118
459,459000,4993.53553610913
460,460000,4867.275640116877
461,461000,4694.146727932354
462,462000,4759.800887091536
463,463000,4774.774624012782
464,464000,5053.2005452898475
465,465000,4822.6073708550475
466,466000,4863.039269443302
467,467000,4625.313001761835
468,468000,4683.565059348296
469,469000,4945.433916286554
470,470000,4821.477417316333
471,471000,4890.552657836259
472,472000,4738.669098361662
473,473000,4848.780057320543
474,474000,4943.259271628257
475,475000,4839.626032124883
476,476000,4829.455005024212
477,477000,4875.634346676048
478,478000,5077.447057039926
479,479000,4889.601587206098
480,480000,4838.745736059607
481,481000,4896.765183127538
482,482000,4948.797050524608
483,483000,4903.011914340519
484,484000,4577.183472429306
485,485000,4776.864589246192
486,486000,4896.73088551766
487,487000,4931.163688911669
488,488000,4741.761387786371
489,489000,4749.056563557919
490,490000,4833.623631063838
491,491000,4751.767118539606
492,492000,4879.87218539645
493,493000,4950.688642866733
494,494000,4856.820935548686
495,495000,4686.600253313063
496,496000,4820.742211784699
497,497000,4743.322517934338
498,498000,4794.09953822671
499,499000,5177.959137120222
500,500000,4959.827589036196
501,501000,5190.463224471132
502,502000,5038.94408855851
503,503000,4889.729908638023
504,504000,5013.462306083235
505,505000,5017.651901453581
506,506000,4963.358095525842
507,507000,5006.235206314428
508,508000,4971.478998441169
509,509000,4935.21385277878
510,510000,4945.969439860772
511,511000,4900.876786967862
512,512000,5051.287047379978
513,513000,4922.87596493871
514,514000,4816.261896370838
515,515000,4933.565544422258
516,516000,5021.394640709525
517,517000,5076.557941548751
518,518000,4952.868272710614
519,519000,4929.432678258243
520,520000,5015.196517128106
521,521000,4934.669784764191
522,522000,4928.75385277836
523,523000,5110.496565893074
524,524000,4969.012546652012
525,525000,4796.741927599745
526,526000,4883.04768472857
527,527000,4808.140167883855
528,528000,5136.444916193173
529,529000,5024.483561420595
530,530000,5026.578049341857
531,531000,4938.220239559382
532,532000,5033.504690031677
533,533000,4944.050344108711
534,534000,5192.133713209894
535,535000,4996.342600981666
536,536000,5045.960744908875
537,537000,5181.039599511034
538,538000,4825.283423635747
